순번;자치단체;시설유형;시설구분;시설명;건립일;운영방식;건물면적(㎡);토지면적(㎡);관리인력;연간이용인원;건립비용;자산가치 변동현황;자산가치 변동현황;자산가치 변동현황;자산가치 변동현황;자산가치 변동현황;비용;수익;순수익
취득가액;감가상각액;감가상각 누계액;장부가액;내용연수
1;서울본청;문화시설;박물관;서울도시건축전시관;2019.01.11;위탁;2,988;1,558;0;290,895;28,168;21,047;526;526;20,521;40;2,232;60;-2,172
2;서울본청;문화시설;박물관;서울역사박물관;1998.02.03;직영;20,883;99,728;259;1,669,855;34,411;34,411;341;14,270;20,140;80;14,434;818;-13,617
3;서울본청;문화시설;박물관;한성백제박물관;2011.12.31;직영;19,423;14,894;140;788,020;79,530;79,530;2,485;15,906;63,624;40;13,101;242;-12,858
4;서울본청;문화시설;문화예술회관;동대문디자인플라자;2013.11.20;위탁;86,574;62,108;40;11,739,138;421,222;384,332;10,128;39,991;344,341;40;14,692;15,477;784
5;서울본청;문화시설;과학관;서울시립과학관;2016.06.30;직영;12,330;25,875;84;216,986;42,349;42,349;2,231;7,354;34,995;40;4,807;308;-4,499
6;서울본청;체육시설;육상경기장;잠실올림픽주경기장;1984.09.29;직영;75,469;111,792;30;590,563;36,736;36,736;1,327;29,214;7,522;40;12,911;11,411;-1,500
7;서울본청;기타시설;기타시설;광나루안전체험관;2002.12.05;직영;5,444;5,041;3;215,342;20,549;2,559;73;881;1,678;40;1,193;0;-1,193
8;서울본청;기타시설;기타시설;보라매안전체험관;2010.05.25;직영;8,020;4,753;0;165,092;41,452;38,229;1,013;7,259;30,970;40;235;0;-235
9;서울본청;기타시설;기타시설;서울혁신파크;2015.04.13;위탁;48,898;109,927;88;678,600;442,247;364,565;2,052;8,262;356,304;40;7,142;1,394;-5,748
10;서울종로구;체육시설;체육관;종로문화체육센터;2007.04.01;위탁;6,756;3,069;34;213,661;22,441;22,441;488;5,072;17,369;40;1,676;712;-964
11;서울종로구;기타시설;기타시설;종로구민회관;2000.01.31;위탁;11,262;3,974;37;877,861;24,647;24,119;390;6,635;17,484;40;3,162;2,668;-493
12;서울중구;문화시설;박물관;서소문역사공원 기념공간;2019.01.31;위탁;24,526;21,363;25;0;59,131;59,131;862;862;58,269;40;831;50;-781
13;서울중구;문화시설;문화예술회관;충무아트센터;2005.02.04;위탁;25,994;6,512;46;447,855;46,352;34,639;517;6,182;28,457;40;8,910;8,697;-213
14;서울중구;체육시설;체육관;충무아트홀 스포츠센터;2005.02.04;위탁;12,520;9,172;35;1,774,006;18,933;14,149;211;2,947;11,202;40;4,040;4,592;552
15;서울중구;체육시설;체육관;회현체육센터;2009.05.01;위탁;4,829;2,693;21;377,154;15,604;10,751;269;2,397;8,355;40;1,243;1,456;213
16;서울중구;기타시설;기타시설;중구구민회관;1990.06.05;위탁;1,899;5,224;8;0;14,163;14,163;82;1,684;12,480;40;1,015;497;-518
17;서울용산구;문화시설;문화예술회관;용산아트홀;2010.07.01;직영;8,519;13,497;8;120,000;27,048;27,048;1,487;31,466;176,537;40;1,509;279;-1,230
18;서울용산구;문화시설;청소년수련회관;용산청소년수련관;2006.06.15;위탁;6,497;1,333;32;477,621;14,000;14,000;289;3,820;10,564;40;2,510;2,439;-71
19;서울용산구;체육시설;체육관;용산구문화체육센터;2005.10.10;위탁;5,919;1,272;29;273,456;14,853;14,637;369;5,074;9,563;40;1,988;1,612;-376
20;서울용산구;복지시설;종합사회복지관;갈월종합사회복지관;2001.09.01;위탁;6,358;1,627;34;498,889;12,592;12,592;255;4,586;8,161;40;2,805;2,820;16
21;서울성동구;문화시설;공립도서관;성동구립도서관;1999.04.23;위탁;5,692;1,894;26;1,343,565;12,148;12,148;304;6,074;6,074;40;2,347;245;-2,102
22;서울성동구;기타시설;기타시설;성수문화복지회관;2012.09.14;위탁;9,726;2,204;20;605,500;23,580;23,580;589;4,126;19,453;40;1,190;325;-864
